นิติบุคคลจัดตั้งเดือนมกราคม  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,วันที่จดทะเบียน," ทุนจดทะเบียน
 (บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
11,0105558005717,บจ.เทคโทรนิค อินดัสตรี้ส์ (ประเทศไทย) จำกัด,12/1/2558," 100,000,000 ",ประกอบกิจการค้าเครื่องจักรเครื่องยนต์ เครื่องมือกล และเครื่องใช้ไฟฟ้าทุกชนิด,65/116-117 อาคารชำนาญเพ็ญชาติ ชั้น 14 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
12,0105558004354,บจ.บ้านรื่นรมย์ 2015 จำกัด,9/1/2558," 100,000,000 ",การรับซื้อขายที่ดิน จัดสรรที่ดิน บ้าน สิ่งปลูกสร้าง หรือก่อสร้างสิ่งปลูกสร้าง เพื่อจำหน่าย เช่า,43 ซอยพระรามที่ 2 ซอย 54  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
13,0105558004443,บจ.บ้านพุทธชาติ 2015 จำกัด,9/1/2558," 100,000,000 ",การรับซื้อขายที่ดิน จัดสรรที่ดิน บ้าน สิ่งปลูกสร้าง หรือก่อสร้างสิ่งปลูกสร้าง เพื่อจำหน่าย เช่า,43 ซอยพระรามที่ 2 ซอย 54  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
14,0105558006420,บจ.เพรสเซนท์เอสเตท จำกัด,13/1/2558," 100,000,000 ",ประกอบกิจการก่อสร้างอาคารที่พักอาศัยสำหรับที่ดินที่เป็นเจ้าของ,59/333 ซอยบรมราชชนนี 101 ถนนบรมราชชนนี  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170
15,0105558014139,บจ.พีซีโฮม (ประเทศไทย) จำกัด,26/1/2558," 100,000,000 ",การเป็นตลาดกลางในการซื้อขายสินค้าหรือ บริการโดยวิธีใช้สื่ออิเล็กทรอนิกส์ผ่านระบบเครือข่าย,"191/54,191/57 ชั้น 18 อาคารซีทีไอ ทาวเวอร์ ถนนรัชดาภิเษก  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110"
16,0105558018410,บจ.ณุศา ลายา จำกัด,30/1/2558," 96,500,000 ",การให้บริการสวนน้ำ พลาซ่า สวนสนุก ห้างสรรพสินค้า โรงแรม สนามกอล์ฟ,29 อาคารบางกอกบิสซิเนส เซ็นเตอร์ ชั้นที่ 30 ซอยสุขุมวิท 63 (เอกมัย)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
17,0105558010460,บจ.เอสจีเอ็ม เพาเวอร์ เพลเลท จำกัด,20/1/2558," 66,670,000 ",ประกอบกิจการผลิตและจัดจำหน่ายเชื่อเพลิงชีวมวลอัดเม็ด,140 อาคารวัน แปซิฟิค เพลส ชั้นที่ 17 ห้องเลขที่ 1703-1704 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
18,0105558001347,บจ.ยากิชิตะ (ประเทศไทย) จำกัด,6/1/2558," 60,000,000 ",ประกอบกิจการ ออกแบบอุปกรณ์นำเจาะและจับชิ้นงานรวมถึงสินค้าเกี่ยวกับยานยนต์,1035/22 ชั้น 6 ถนนสุขุมวิท 71  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
19,0105558017936,บจ.กูร์เมท์ พรีโม่ จำกัด,29/1/2558," 50,000,000 ",ประกอบกิจการโรงงานผลิตและแปรรูปอาหาร,99 หมู่ที่ 14 ถนนวิภาวดีรังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
20,0105558007469,บจ.ปักกิ่ง โกลด์ ซิตี้ ดีเวลลอปเม้นท์ โฮลดิ้งส์ (ประเทศไทย) จำกัด,15/1/2558," 50,000,000 ",รับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำงาน งานโยธาทุกประเภท,1129/54 ถนนนครไชยศรี  แขวงถนนนครไชยศรี เขตดุสิต กรุงเทพมหานคร 10300
21,0105558004907,บจ.เฟิรสท์ คอนเฟคชั่นเนอรี่ จำกัด,12/1/2558," 50,000,000 ",ผลิตและขายส่งขนมหมากฝรั่ง ลูกอม ขนมปังเวเฟอร์,71/2 ซอยบางกระดี่ 32 ถนนบางกระดี่  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
22,0105558018177,บจ.ไอดีลนคร จำกัด,29/1/2558," 50,000,000 ",ประกอบกิจการก่อสร้างอาคารที่พักอาศัยสำหรับที่ดินที่เป็นเจ้าของ,59/333 ซอยบรมราชชนนี 101 ถนนบรมราชชนนี  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170
23,0105558011415,บจ.ยูเอซี แอ็ดวานซ์ โพลิเมอร์ แอนด์ เคมิคัลส์ จำกัด,21/1/2558," 50,000,000 ",การผลิตหรือแบ่งบรรจุเคมีภัณฑ์ทุกชนิดที่ใช้ในอุตสาหกรรมต่างๆ รวมถึงการจัดจำหน่ายทั้งในและต่างประเทศ,9 ซอยสุภาพงษ์ 3 แยก 6 ถนนศรีนครินทร์  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
24,0105558001371,บจ.โรงแรม สีลม จำกัด,6/1/2558," 50,000,000 ",ประกอบกิจการโรงแรม และภัตตาคาร,103/1 ซอยสุขุมวิท 55 ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
25,0105558011555,บจ.พี.บี.บี.บี จำกัด,21/1/2558," 45,000,000 ",ซื้อ ขาย โอน จำนอง ให้เช่าอสังหาริมทรัพย์ เครื่องเรือน เครื่องใช้ไฟฟ้า เฟอร์นิเจอร์,2098/1 ถนนลาดกระบัง  แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520
26,0105558012403,บจ.อีโตชู เอ็นเตอร์ไพรซ์ (ไทยแลนด์) จำกัด,22/1/2558," 40,000,000 ","ประกอบกิจการส่งออกและขายสิ่งทอ,พลาสติก,ไม้แปรรูป,เครื่องจักรและอุปกรณ์",54 อาคารหะรินธร ชั้นที่ 5 ถนนสาทรเหนือ  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
27,0105558000707,บจ.เคแอลเจ อินเตอร์เนชั่นแนล จำกัด,5/1/2558," 40,000,000 ",ประกอบกิจการผลิตทองรูปพรรณ เครื่องเงินรูปพรรณ เครื่องประดับกาย เจียรนัยเพชรพลอย,30 ซอยสุขาภิบาล 2 ซอย 31  แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250
28,0105558013523,บจ.พรีซิชั่น คอนเวิร์ทติ้ง จำกัด,23/1/2558," 36,000,000 ",ประกอบกิจการรับจ้าง ตัด พับ ขึ้นรูป แปรรูป แผ่นฟิลม์พลาสติก,153 ซอยสุขสวัสดิ์ 1  แขวงบางปะกอก เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140
29,0105558018886,บจ.ศุภากร โฮลดิ้ง จำกัด,30/1/2558," 30,000,000 ",ประกอบกิจการด้านอสังหาริมทรัพย์ การให้เช่าและบริการธุรกิจ,94 ซอยพหลโยธิน 32 ถนนพหลโยธิน  แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900
30,0105558004834,บจ.เอ็กซ์ซีเอ็มจี แมชชีนเนอรี่ เซลส์ แอนด์ เซอร์วิส (ไทยแลนด์) จำกัด,12/1/2558," 30,000,000 ",ขายแร่ทุกชนิด,44/1 อาคารรุ่งโรจน์ธนกุล ชั้นที่ 16 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
31,0105558000596,บจ.อายิโนะโมะโต๊ะ เอสอีเอ รีเจียนัล เฮดควอเตอส์ จำกัด,5/1/2558," 30,000,000 ",ประกอบกิจการให้บริการด้านการบริการหรือด้านเทคนิคให้บริการสนับสนุนในเรื่องต่างๆแก่วิสาหกิจในเครือ,487/1 ถนนศรีอยุธยา  แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400
32,0105558001452,บจ.ดีเอ็นเอ เน็ทเวิร์ค แอนด์ เอ็นจิเนียริ่ง จำกัด,6/1/2558," 30,000,000 ",ประกอบกิจการ ประมูลงาน ให้บริการออกแบบ ติดตั้งระบบสาธารณูปโภค,19 ซอยรามคำแหง 22 (จิตตรานุเคราะห์) ถนนรามคำแหง  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
33,0105558011806,บจ.ดีเอ็นเอ รีเทล ลิ้งค์ จำกัด,21/1/2558," 30,000,000 ",ประกอบกิจการค้าแผ่นซีดีเพลง แผ่นซีดีภาพยนตร์ และอุปกรณ์ของสินค้าดังกล่าวทุกชนิด,19 ซอยรามคำแหง 22 (จิตตรานุเคราะห์) ถนนรามคำแหง  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
34,0105558001916,บจ.ไอ-สเตย์ เรียลเอสเตท จำกัด,7/1/2558," 30,000,000 ",ประกอบกิจการ ธุรกิจโรงแรม ภัตตาคาร บาร์ ไนท์คลับ,3 ซอยพระรามเก้า 53(วิเศษสุข5)  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
35,0105558013175,บจ.พรประภาและบุตร จำกัด,23/1/2558," 30,000,000 ",การค้าวัสดุก่อสร้างอุปกรณ์และเครื่องมือเครื่องใช้ในการก่อสร้างรวมทั้งอะไหล่ของสินค้าดังกล่าว,171/1 ซอยพัฒนาการ 40  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
36,0105558007272,บจ.ดีบีที (ไทยแลนด์) จำกัด,14/1/2558," 30,000,000 ",ประกอบกิจการด้านการพัฒนา ให้เช่า ซื้อขาย แลกเปลี่ยน อสังหาริมทรัพย์,50 ซอยประเสริฐสิษฐ์ ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
37,0107558000016,บมจ.โตโย บิซิเนส เซอร์วิส จำกัด (มหาชน),5/1/2558," 30,000,000 ",ประกอบกิจการบริการรับเป็นที่ปรึกษา และให้คำแนะนำปัญหาเกี่ยวกับการบริหารงาน,32/23 อาคารซิโน-ไทย ทาวเวอร์ ชั้นที่ 2 ถนนสุขุมวิท 21 (อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
38,0105558010419,บจ.ฮีโน่ เมคคานิคอล (ประเทศไทย) จำกัด,20/1/2558," 25,000,000 ",การผลิต ออกแบบ นำเข้า ส่งออก จัดหาจัดซื้อ จำหน่ายเครื่องจักร ส่วนประกอบและชิ้นส่วน,115 อาคารร่มโพธิ์ บิสซิเนส เซ็นเตอร์ ห้อง C-8 ชั้น 2 ถนนริมทางรถไฟสายปากน้ำ  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
39,0105558018495,บจ.ไอนุ เรสเตอรองท์ จำกัด,30/1/2558," 24,000,000 ","ประกอบกิจการภัตตาคาร ,บริการด้านอาหาร",121 ซอยสุขุมวิท 55  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
40,0105558005351,บจ.โคบายาชิ คานากาตะ (ไทยแลนด์) จำกัด,12/1/2558," 23,000,000 ","ซื้อขาย ผลิต ออกแบบแม่พิมพ์ขึ้นรูปผงโลหะ,แม่พิมฟ์ขึ้นรูปเรซิ่น,แม่พิมพ์ตัด,แม่พิมพ์ปั๊มขึ้นรูป",115 อาคารร่มโพธิ์แมนชั่น ชั้นที่ 1 ห้องเลขที่ ดี 2 ถนนริมทางรถไฟสายปากน้ำ  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
41,0105558001240,บจ.เพซ อินทีเรีย เซอร์วิสเซส จำกัด,6/1/2558," 20,000,000 ",ประกอบกิจการให้บริการที่เกี่ยวกับการออกแบบและตกแต่งภายใน,87/2 ซีอาร์ซี ทาวเวอร์ ออลซีซั่นเพลส ชั้น 45 ยูนิต 3 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
42,0105558013680,บจ.อิ-ฮุย ทรัพยากรหมุนเวียน จำกัด,23/1/2558," 20,000,000 ",ประกอบกิจการรับซื้อขายของเก่าประเภทโลหะพลาสติกแบตเตอรี่อุปกรณ์ไอที,8 ซอยบางกระดี่ 14  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
43,0105558016379,บจ.ศิริประชา พร็อพเพอร์ตี้ ดีเวลลอปเม้นท์ จำกัด,28/1/2558," 20,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการ ถนน สะพาน,12 ถนนเพชรเกษม  แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160
44,0105558007248,บจ.แอสคอน บิสซิเนส ดีเวลลอปเม้นท์ จำกัด,14/1/2558," 20,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง พัฒนาอสังหาริมทรัพย์,17 ซอยรามคำแหง 60/2  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
45,0105558005598,บจ.เดอะ เกท เอเซีย จำกัด,12/1/2558," 15,000,000 ",ประกอบกิจการผลิต ผลิตภัณฑ์อิเล็กทรอนิกส์,388 อาคารเอ็กซ์เชนจ์ ทาวเวอร์ ชั้นที่ 29 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
46,0105558000511,บจ.อินคริเม้นท์ พี เอเซีย จำกัด,5/1/2558," 14,800,000 ",ขาย อนุญาตให้ใช้สิทธิ หรือ ให้บริการ เกี่ยวกับการพัฒนาโปรแกรมซอร์ฟแวร์,128/115 อาคารพญาไท พลาซ่า ชั้นที่ 11 ถนนพญาไท  แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร 10400
47,0105558011067,บจ.ชาเขียว จำกัด,20/1/2558," 14,000,000 ",ประกอบกิจการ ผลิต จำหน่าย และส่งออก เครื่องดื่มชาสมุนไพรและ สินค้าเพื่ออุปโภคบริโภค,40 ซอยสุทธินิเวศน์ ถนนสุทธิสาร  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310
48,0103558000497,หจ.ชัวร์กู๊ด เทรดดิ้ง,8/1/2558," 12,000,000 ",ประกอบการค้า เสื้อผ้าสำเร็จรูป เครื่องประดับ,27 ซอยพระรามเก้า 43 (ซอย 21 เสรี 4)  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
49,0105558000529,บจ.โอไมครอน เอ็นจิเนียริ่ง จำกัด,5/1/2558," 10,000,000 ",รับงานออกแบบ ตรวจสอบ แก้ไข และติดตั้งอุปกรณ์ไฟฟ้า,21/60ก ซอยลาดพร้าว 15  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
50,0105558011512,บจ.ดีท้อปพร้อพเพอร์ตี้ จำกัด,21/1/2558," 10,000,000 ",ประกอบกิจการให้เช่าโรงแรมอพาร์ทเม้นท์คอนโดมิเนียม,72 ซอยทรงสะอาด  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
51,0105558005385,บจ.คาร์แมกซ์ พระราม 9 กรุ๊ป (ไทยแลนด์) จำกัด,12/1/2558," 10,000,000 ",การซื้อขายและตัวแทนนายหน้าซื้อขายรถยนต์ อุปกรณ์ตกแต่งและอะไหล่รถยนต์,370 ถนนพระราม 9  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
52,0105558013329,บจ.มารูโต้ (ประเทศไทย) จำกัด,23/1/2558," 10,000,000 ",การนำเข้า ส่งออก จัดหาจัดซื้อและจำหน่ายวัตถุดิบบรรจุภัณฑ์สำหรับอาหาร เภสัชภัณฑ์ และเครื่องสำอางค์,2034/58 อาคารอิตัลไทย ทาวเวอร์ ชั้นที่ 11 ถนนเพชรบุรีตัดใหม่  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
53,0105558004214,บจ.ยูนิเวนเจอร์ รีท แมเนจเม้นท์ จำกัด,9/1/2558," 10,000,000 ",ประกอบธุรกิจเป็นผู้จัดการกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,57 อาคารปาร์คเวนเชอร์ อีโคเพล็กซ์ ชั้น 22 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
54,0105558002114,บจ.พรีเมี่ยมเวชภัณฑ์ 4453 จำกัด,8/1/2558," 10,000,000 ",ประกอบกิจการค้า ผลิตภัณฑ์พฤกษาบำบัด ผลิตภัณฑ์เซลล์บำบัด และชีววัตถุ,1155/185 อาคารเซ็นทริค รัชดา-สุทธิสาร ถนนสุทธิสารวินิจฉัย  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
55,0105558001053,บจ.คอมาว (ประเทศไทย) จำกัด,6/1/2558," 10,000,000 ",ประกอบธุรกิจกำกับดูแลหรือให้บริการในเครือในด้านต่างๆ เช่น การบริหารจัดการทางธุรกิจ ประสานด้านธุรกิจ,1-7 อาคารซิลลิค เฮาส์ ชั้นที่ 9 ยูนิต 0909 ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
56,0105558003714,บจ.ชิราสึกิ (ประเทศไทย) จำกัด,9/1/2558," 10,000,000 ",นำเข้า ส่งออก จำหน่าย จัดหา จัดซื้อ และพัฒนาซอฟแวร์,152 อาคารชาร์เตอร์ สแควร์ ยูนิต 16-02ซี ชั้น 16 ถนนสาทรเหนือ  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
57,0105558005652,บจ.อินาบะ รับเบอร์ (ประเทศไทย) จำกัด,12/1/2558," 10,000,000 ",ประกอบกิจการจัดซื้อจัดหาจำหน่ายนำเข้าส่งออกเครื่องจักรเครื่องมือเครื่องใช้วัตถุดิบชิ้นส่วนอะไหล่,317 อาคารกมลสุโกศล ชั้นที่ 12 ห้องเลขที่ ยูนิตดี ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
58,0105558008724,บจ.ฟู้ดสวัสดี จำกัด,16/1/2558," 10,000,000 ",การสนับสนุนการดำเนินกิจกรรมการค้าพาณิชย์อีเล็กทรอนิกส์ ภายใต้การให้บริการเครือข่ายสังคมออนไลน์,160/31-33 อาคารไอ.ที.เอฟ. สีลม พาเลส ถนนสีลม  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
59,0105558007949,บจ.เทารา อินโนวิชั่น จำกัด,15/1/2558," 10,000,000 ",รับเป็นที่ปรึกษา ออกแบบ และวางแผนกลยุทธทางการตลาด,17/20 ซอยรามคำแหง 174  แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510
60,0105558012152,บจ.พญาอินทรี ลาดกระบัง จำกัด,22/1/2558," 10,000,000 ",ประกอบกิจการบริหารและจัดการสโมสรฟุตบอล ฝึกสอนและพัฒนากีฬาฟุตบอล,410 ถนนฉลองกรุง  แขวงลำปลาทิว เขตลาดกระบัง กรุงเทพมหานคร 10520
61,0105558005555,บจ.สินมาไพบูลย์ ปิโตรเลียม จำกัด,12/1/2558," 10,000,000 ",ประกอบกิจการขายปลีกน้ำมันเชื้อเพลิง สถานีน้ำมัน,135 ถนนทวีวัฒนา  แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160
62,0105558010273,บจ.เชียงไท่ปาร์ติเคิลบอร์ด จำกัด,20/1/2558," 10,000,000 ",ประกอบกิจการโรงงานผลิตปาร์ติเคิลบอร์ด,2/1 หมู่ที่ 9  แขวงตลิ่งชัน เขตตลิ่งชัน กรุงเทพมหานคร 10170
63,0105558009500,บจ.ซีเอ็มโอ ทีวัน เอเชีย คอร์ปอเรชั่น จำกัด,19/1/2558," 10,000,000 ",การจัดทำซอฟต์แวร์สำเร็จรูปทั้งที่เป็นโปรแกรมสำเร็จรูปและที่สามารถดาวน์โหลด,4/18-19 ซอยนวลจันทร์ 56  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230
64,0105558010362,บจ.เทคโน โฮลดิ้ง จำกัด,20/1/2558," 10,000,000 ",ประกอบกิจการเข้าเป็นผู้ถือหุ้นในบริษัทจำกัด,49/423 ซอยนวมินทร์ 157 แยก 6  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230
65,0103558000667,หจ.เอ็มเจเอดรีมบิวเดอร์ส,9/1/2558," 10,000,000 ",เปิดอบรมและสอนโรงเรียนสอนภาษาต่างประเทศและภาษาไทย รับว่าความและเป็นที่ปรึกษากฎหมาย,302/222 อาคารลุมพินีคอนโดนิด้าเสรีไทย ชั้นที่ 8 ถนนเสรีไทย  แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240
66,0105558007264,บจ.เจอาร์เอ็ม (ประเทศไทย) จำกัด,14/1/2558," 10,000,000 ",ประกอบกิจการซื้อขายจำหน่ายชิ้นส่วนอิเล็คทรอนิกส์และอุปกรณ์ที่เกี่ยวข้องทุกชนิด,2/51 อาคารทศพลแลนด์ 4 ชั้นที่ 11 ซอยบางนา-ตราด 25  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260
67,0105558013621,บจ.ถลาง เอสเตท จำกัด,23/1/2558," 10,000,000 ",ประกอบกิจการที่เกี่ยวกับอสังหาริมทรัพย์ เช่น การรับซื้อ รับโอน ถือกรรมสิทธิ์ ครอบครอง มีไว้ใช้ ขาย,32 ซอยสุขใจ(แยกบ้านกล้วยใต้)  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110
68,0105558017278,บจ.เซกิซุย แพลนท์ (ประเทศไทย) จำกัด,29/1/2558," 10,000,000 ",การบริการก่อสร้างโรงงานอุตสาหกรรม วางแผน ออกแบบ ให้คำปรึกษาด้านวิศวกรรม,2 อาคารจัสมิน ชั้น 12 ซอยสุขุมวิท 23 (ประสานมิตร) ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
69,0105558000987,บจ.ตงเหมิน อินเตอร์เนชั่นแนล โฮลดิ้งกรุ๊ป (ประเทศไทย) จำกัด,5/1/2558," 10,000,000 ",ประกอบธุรกิจด้านอสังหาริมทรัพย์ เช่น ปลูกสร้าง ซื้อ ขาย อสังหาริมทรัพย์,43 อาคารไทย ซี.ซี. ชั้นที่ 18 ห้องเลขที่ 180 ถนนสาทรใต้  แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120
70,0105558013787,บจ.มิเนอรัล คอนซัลติ้ง กรุ๊ป จำกัด,23/1/2558," 10,000,000 ",ประกอบธุรกิจบริการรับเป็นที่ปรึกษาและให้คำแนะนำปัญหาเกี่ยวกับด้านบริหารพาณิชยกรรม อุตสาหกรรม,15 ถนนจันทน์  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120
71,0105558000260,บจ.ไพโอแวน เซ้าท์ อีสต์ เอเซีย จำกัด,5/1/2558," 9,000,000 ",นำเข้า ส่งออกและจัดจำหน่ายเครื่องจักร,202 อาคารเลอคองคอร์ด ห้อง 2004 ชั้น 20 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
